"Classic southern bbq is what you'll find at pig out bbq. They've been serving it up since 2012. I shared the 6 rib dinner with a friend which came with a side (aka trimming), coleslaw, pickles and choice of dipping sauce. My side of choice was fries, can't go wrong with fries - they were crispy, a bit oily, made for good bbq eating. Coleslaw and pickles were standard - good but nothing stand out. Can't recall the dipping sauce but I appreciated that there was dipping sauce. The ribs are smoky but I can understand why they came with sauce because they aren't exactly lathered in any. Unlike saucier ribs I've had, these ribs feel a little drier so the sauce helps in that aspect. The meat was delicious and tender but I don't think this is my type of ribs - I guess I'm more of a saucy ribs girl. I would still recommend giving it a try if you'd prefer a smoky, drier rub!",Pig Out BBQ,Yelp,Negative
"Ordered the Jr. Pig Out Platter (46.95) which included half rack of ribs, 1 lb wings, 8 oz beef brisket and we chose mac n cheese and sweet potato fries as the 2 'trimmings', the platter also comes with coleslaw. First off, it's a ton of food. Everything is super filling so it's definitely enough for 2-3 people depending on appetite. I really liked the brisket and ribs both were packed with flavor and tender. The wings were ok, I would've liked it to be tossed with more sauce. Mac n cheese and sweet potato fries were very very good. I'm a sucker for good BBQ and this place definitely satisfied my cravings. Highly recommend!",Pig Out BBQ,Yelp,Positive
"I decided to try their bbq.

I was hesitant being I am used to southern United States smoked bbq and Toronto is as far north as you can get from Texas.

The meat was a bit dry. I can tell they don't leave their meat wrapped after being cooked. The brisket was cut with the grain which gives it more pull with your teeth vs. being cut against the grain and easy to pull apart.

The ribs were average. 

Across-the-board their meat could use more flavor but it was a filling lunch. 

The mac and cheese was decent. It's not velveeta cheese sauce! 

Last but not least the staff are very friendly.",Pig Out BBQ,Yelp,Negative
"With finals coming up, why not relax by pigging out on some delicious food? Pig Out BBQ is a bbq smokehouse that is located in the heart of UofT, and has been opened since 2014 by owners Chris & John! They serve delicious platters that will definitely get you to pig out and feeling satisfied Honestly, a very nice place to visit for students!

If you're looking to feast with friends, I recommend their Pig Out Platter which contains: Full Rack of Ribs, 2 Smoked Sausages, Pulled Pork, 1lb of Wings, Beef Brisket, Coleslaw and Pickles. Choice of 3 Large Trimmings (Corn Bread, Fries, Baked Beans, Mac n Cheese, Potato Salad, Salads, Nacho Fries, Poutine, and Pulled Pork Poutine) for $74.95 that can serve up to 4-5 people. 

Too much? Fear not, they also have their famous Piglet Platter that is just as delicious and filling. The piglet platter contains: 2 ribs, 4 wings and pork, choice of 1 trimming for $19.95.

They offer 4 different sizes of platters depending on your needs :) I recommend checking this place out if you're in the area!!",Pig Out BBQ,Yelp,Postive
"Now I have a place to go for a delicious beef brisket sandwich! The beef brisket is very tender, can be a bit fatty, but just delicious.

I also tried the wings and ribs. My recommendation would be the wings and beef brisket, the ribs isn't the fall off the bone type which I prefer. The wings however is juicy, and the flavor we got (it's garlic something) was really good.

Don't let the exterior of the building fools you, the restaurant is renovated and spacious enough to fit quite a number of tables.",Pig Out BBQ,Yelp,Postive
"I ordered the focaccia and burrata as appetizers before our dinner, and it was a fantastic start to the meal. The focaccia was crispy on the outside and soft inside, with a perfect hint of rosemary. The burrata was creamy and paired wonderfully with the fresh tomatoes and basil. Even though the focaccia and burrata are listed separately on the menu, the focaccia was definitely worth adding.

For dinner, my party chose the famous Mafalde Ai Funghi and Casarecce Al Ragu. The mafalde is ideal for mushroom lovers and those who enjoy creamy pasta. The ragu in particular was my favorite; its rich flavor was unlike anything I've tasted before.

The service was excellent! My water glass was always full, and our waitress ensured we were well taken care of. Since there weren't many people in the restaurant on a Thursday evening, it provided a nice, quiet atmosphere where we could enjoy our conversation.",Gusto 101,Yelp,Positive
"While I'm sure this restaurant has a bunch of other yummy food, the only reason I come here is for their Mafalde Ai Funghi!!! It's bomb and so delicious. I absolutely love pasta and this is my favourite pasta of all time. I never found any other pasta that came close to this. The truffle and mushroom taste blends together so perfectly. I love how it's not an Alfredo base. 

The service is always great. The waiter we had was very kind and accommodating when we asked to get another table with a better look out view. Super nice and attentive. The restaurant is slightly more classy than your average Italian restaurant. Cute for pictures and the lighting is dim which makes it more intimate.",Gusto 101,Yelp,Positive
"I've been to this location a few times and after every meal, I leave feeling.. meh? The location is really nice and there is a lot of seating on the patio and two floors inside. I find the food to be ok. There is something about the pasta here.. not sure if it's the sauce or the pasta itself, but I always get quite bloated after every visit. Not something that normally happens after I eat pasta or at other Italian restaurants. The starters are very good - we had the calamari and arancini. The pizza toppings were fresh but it was quite oily. I do like how gusto has wine on tap and you can choose how many ounces you'd like. Service was okay - started off strong to check in on us but we got there a little early for dinner and felt like we were kind of forgotten once it started getting busy. 

I'd come here for drinks and light snacks because the vibe is fun, but haven't been extremely wow'd otherwise.",Gusto 101,Yelp,Negative
"This place had one of the best happy hour deals downtown. However, recently they changed the happy hour deal from everything on the menu being 50% off to now having a happy hour set menu and the prices are higher. Overall, the food here is really good and in the summer they have a really nice patio set up. The mushroom pasta seems like one of the top choices and lives up to the hype. Service is always very quick and friendly so if you're looking for a place for a nice Italian meal, I would recommend gusto.",Gusto 101,Yelp,Positive
"Gusto 101 remains one of my favourite recommendations for Italian food in Toronto. I've been going here for years, way before the pandemic. Their Mafalde al Funghi is hands down their best dish. Cooked to perfection and full of umami from the mushroom. I honestly almost always get that dish when I go, though this time around I tried their Cavatelli alla Calabrese which was tasty as well. 

This location has great vibes for catching up with friends. They have a really spacious roof top that is covered so you're protected from the elements. They also have a nice outdoor patio area. And if you can't get a seat at either of those, their indoor dining/bar area gives a nice cozy moody vibe. I also appreciate that the music is never too loud so you can have a good conversation with a friend. It can get very busy so I recommend getting reservations but on week nights I haven't had any trouble getting a seat walking in. 

The servers have always been wonderful. Honestly I only have good things to say. Gusto 101 remains one of my classic Toronto recommendations.",Gusto 101,Yelp,Positive
